chunk,detection_s,pose_s,tracking_s,association_s,reconstruction_s,total_s
0,72.14,78.74,2.23,31.57,115.36,300.04
1,84.83,83.20,2.58,36.71,70.52,277.84
2,74.88,81.40,2.70,40.18,85.48,284.64
3,73.41,80.64,2.22,32.04,74.97,263.28
4,73.26,79.18,2.38,29.52,75.34,259.68
5,73.21,81.90,2.58,34.37,78.49,270.55
6,73.30,78.37,2.37,29.67,73.29,257.00
7,77.67,96.31,2.62,39.89,77.20,293.69
8,77.04,80.05,2.77,41.65,77.65,279.16
9,74.68,77.38,2.41,35.19,93.08,282.74
10,76.74,78.66,2.33,38.10,85.97,281.80
11,76.18,84.14,2.74,36.66,89.59,289.31
12,79.30,84.33,2.52,34.27,75.81,276.23
13,74.03,89.46,2.47,37.11,82.59,285.66
14,73.56,82.77,2.35,39.36,75.34,273.38
15,74.24,82.86,2.74,33.71,76.22,269.77
16,73.93,78.07,2.64,34.68,45.08,234.40
17,74.32,78.56,2.39,31.83,50.55,237.65
18,77.67,85.89,2.39,27.45,48.13,241.53
19,74.25,81.38,2.84,30.09,51.60,240.16
20,74.18,81.57,2.54,29.70,57.08,245.07
21,71.73,81.83,2.40,34.88,75.18,266.02
22,74.47,81.53,2.31,29.90,60.87,249.08
23,69.24,78.75,2.58,40.36,64.35,255.28
24,68.98,83.14,2.34,40.03,73.05,267.54
25,71.66,80.23,2.70,42.94,69.63,267.16
26,72.06,83.91,2.51,35.69,64.41,258.58
27,72.03,80.52,2.50,38.69,87.24,280.98
28,75.42,78.89,2.18,34.65,80.48,271.62
29,73.23,78.08,2.51,37.69,77.07,268.58
30,71.78,78.90,2.23,41.96,77.01,271.88
31,25.18,33.78,1.52,14.05,33.88,108.41
